,points,sex
0,91,female
1,89,unknown
2,88,male
3,86,male
4,86,male
5,85,male
6,83,male
7,83,male
8,82,male
9,82,male
10,81,male
11,80,male
12,80,male
13,80,male
14,78,male
15,78,male
16,77,male
17,77,male
18,77,female
19,76,male
20,76,male
21,75,female
22,75,male
23,75,male
24,75,female
25,74,male
26,74,male
27,74,male
28,74,male
29,72,male
30,72,andy
31,72,female
32,72,male
33,72,male
34,72,male
35,72,male
36,70,male
37,70,male
38,69,male
39,69,male
40,69,male
41,68,male
42,68,male
43,68,male
44,68,male
45,67,male
46,67,male
47,67,male
48,67,male
