,points,sex
0,64,male
1,64,male
2,64,male
3,64,male
4,61,male
5,60,male
6,60,male
7,60,male
8,60,male
9,60,male
10,60,male
11,60,male
12,60,male
13,60,male
14,57,male
15,57,male
16,56,male
17,56,male
18,56,male
19,56,male
20,56,male
21,56,male
22,56,female
23,56,male
24,56,male
25,55,male
26,55,male
27,54,male
28,54,male
29,54,male
30,54,female
31,54,male
32,53,male
33,53,male
34,53,male
35,53,female
36,53,male
37,52,male
38,52,male
39,52,male
40,52,male
41,52,male
42,51,male
43,51,male
44,50,male
45,50,male
46,50,male
47,50,male
48,50,male
49,50,male
50,49,male
51,49,male
52,49,male
53,49,male
54,49,female
55,49,male
56,49,male
57,49,male
58,49,male
59,49,male
60,48,female
61,48,male
62,48,male
63,48,female
64,48,male
65,48,male
66,48,male
67,48,male
68,48,female
69,48,male
70,47,male
71,47,male
72,47,male
73,47,male
74,47,male
75,47,male
76,46,male
77,46,male
78,46,male
79,46,male
80,46,female
81,46,male
82,46,male
83,46,male
84,46,female
85,46,male
86,45,male
87,45,male
88,44,male
89,44,female
90,44,female
91,44,male
92,44,male
93,44,male
94,44,male
95,44,male
96,44,male
97,44,male
98,44,male
99,44,female
100,44,male
