,points,sex
0,100.0,male
1,100.0,male
2,96.0,male
3,95.0,male
4,95.0,male
5,95.0,male
6,95.0,female
7,95.0,male
8,95.0,male
9,92.0,male
10,91.0,male
11,91.0,male
12,90.0,male
13,90.0,male
14,90.0,male
15,87.0,male
16,87.0,male
17,86.0,male
18,86.0,male
19,86.0,male
20,86.0,male
21,85.0,male
22,85.0,male
23,85.0,male
24,83.0,male
25,82.0,male
26,82.0,male
27,82.0,male
28,81.0,male
29,81.0,male
30,81.0,male
31,81.0,male
32,80.0,male
33,80.0,male
34,80.0,male
35,79.0,male
36,79.0,female
37,78.0,male
38,77.0,unknown
39,77.0,male
40,77.0,female
41,77.0,male
42,77.0,male
43,77.0,male
44,76.0,male
45,76.0,male
46,76.0,male
47,76.0,male
48,76.0,male
49,75.0,male
50,75.0,male
51,75.0,male
52,75.0,male
53,75.0,male
54,74.0,male
55,74.0,male
56,74.0,male
57,74.0,female
58,74.0,male
59,73.0,male
60,73.0,male
61,73.0,male
62,73.0,male
63,72.0,male
64,72.0,male
65,72.0,male
66,72.0,male
67,72.0,male
68,72.0,male
69,71.0,female
70,71.0,male
71,71.0,male
72,70.0,male
73,70.0,male
74,70.0,male
75,70.0,male
76,70.0,male
77,70.0,female
78,70.0,male
79,70.0,male
80,70.0,female
81,69.0,male
82,69.0,male
83,69.0,male
84,68.0,female
85,68.0,male
86,68.0,male
87,68.0,male
88,68.0,male
89,68.0,male
90,68.0,male
91,68.0,male
92,68.0,male
93,67.0,male
94,67.0,male
95,67.0,male
96,67.0,male
97,67.0,male
98,67.0,unknown
99,67.0,andy
100,67.0,male
101,66.0,female
102,66.0,male
103,66.0,male
104,65.0,male
105,65.0,male
106,65.0,male
107,65.0,male
108,65.0,male
109,65.0,andy
110,65.0,male
111,65.0,female
112,65.0,male
113,65.0,male
114,65.0,male
115,65.0,male
116,65.0,male
117,65.0,male
118,65.0,female
119,65.0,male
120,65.0,andy
121,65.0,male
122,65.0,male
123,65.0,male
124,65.0,male
125,64.0,male
126,64.0,male
127,64.0,male
128,64.0,male
129,64.0,male
130,64.0,female
131,64.0,male
132,64.0,male
133,64.0,male
134,64.0,male
135,64.0,male
136,63.0,male
137,63.0,female
138,63.0,male
139,63.0,unknown
140,62.0,male
141,62.0,male
142,62.0,male
143,62.0,male
144,62.0,male
145,62.0,female
146,61.0,male
147,61.0,male
148,61.0,male
149,61.0,male
150,61.0,male
151,61.0,male
152,61.0,male
153,61.0,male
154,61.0,male
155,61.0,male
156,61.0,male
157,61.0,male
158,61.0,male
159,61.0,male
160,61.0,male
161,61.0,unknown
162,61.0,andy
163,61.0,male
164,61.0,male
165,60.0,male
166,60.0,female
167,60.0,andy
168,60.0,male
169,60.0,male
170,60.0,male
171,60.0,male
172,60.0,male
173,60.0,male
174,60.0,male
175,60.0,male
176,60.0,male
177,60.0,unknown
178,60.0,male
179,60.0,male
180,60.0,male
181,60.0,male
182,60.0,unknown
183,60.0,unknown
184,60.0,male
185,60.0,male
186,60.0,male
187,60.0,andy
188,60.0,male
189,60.0,male
190,60.0,female
191,60.0,andy
192,60.0,unknown
193,60.0,male
194,60.0,andy
195,60.0,male
196,60.0,andy
197,60.0,male
198,60.0,male
199,60.0,unknown
200,60.0,male
201,60.0,male
202,60.0,andy
203,60.0,male
204,60.0,male
205,59.0,male
206,59.0,male
207,59.0,male
208,59.0,male
209,59.0,male
210,59.0,male
211,59.0,male
212,59.0,female
213,59.0,male
214,59.0,male
215,59.0,male
216,59.0,male
217,59.0,female
218,59.0,male
219,59.0,male
220,59.0,male
221,59.0,male
222,58.0,male
223,58.0,male
224,58.0,female
225,58.0,male
226,58.0,female
227,58.0,female
228,58.0,male
229,58.0,male
230,58.0,male
231,58.0,male
232,58.0,male
233,58.0,male
234,58.0,female
235,58.0,female
236,58.0,female
237,58.0,male
238,58.0,female
239,58.0,male
240,57.0,male
241,57.0,unknown
242,57.0,male
243,57.0,male
244,57.0,male
245,57.0,male
246,57.0,female
247,57.0,male
248,57.0,female
249,57.0,andy
250,57.0,andy
251,57.0,male
252,57.0,male
253,57.0,male
254,57.0,male
255,57.0,male
256,56.0,female
257,56.0,male
258,56.0,male
259,56.0,female
260,56.0,male
261,56.0,male
262,56.0,female
263,56.0,male
264,56.0,unknown
265,56.0,male
266,56.0,male
267,56.0,female
268,56.0,unknown
269,56.0,male
270,56.0,male
271,56.0,male
272,56.0,andy
273,56.0,male
274,56.0,male
275,56.0,female
276,56.0,male
277,56.0,male
278,55.0,female
279,55.0,male
280,55.0,female
281,55.0,male
282,55.0,male
283,55.0,male
284,55.0,male
285,55.0,male
286,55.0,male
287,55.0,female
288,55.0,andy
289,55.0,male
290,55.0,unknown
291,55.0,male
292,55.0,male
293,55.0,female
294,55.0,male
295,55.0,male
296,55.0,female
297,55.0,male
298,55.0,andy
299,55.0,male
300,55.0,female
301,55.0,male
302,55.0,male
303,55.0,male
304,55.0,male
305,55.0,female
306,55.0,male
307,55.0,male
308,55.0,male
309,55.0,female
310,55.0,male
311,55.0,andy
312,55.0,unknown
313,55.0,male
314,55.0,andy
315,55.0,male
316,55.0,male
317,55.0,male
318,54.0,unknown
319,54.0,male
320,54.0,male
321,54.0,male
322,54.0,male
323,54.0,male
324,54.0,male
325,54.0,male
326,54.0,unknown
327,54.0,male
328,54.0,male
329,54.0,female
330,54.0,female
331,54.0,male
332,54.0,female
333,54.0,male
334,54.0,male
335,54.0,male
336,54.0,male
337,54.0,male
338,54.0,male
339,54.0,male
340,54.0,male
341,54.0,male
342,54.0,male
343,54.0,male
344,54.0,male
345,54.0,male
346,54.0,male
347,54.0,male
348,54.0,male
349,54.0,female
350,54.0,male
351,54.0,andy
352,53.0,female
353,53.0,male
354,53.0,male
355,53.0,male
356,53.0,male
357,53.0,male
358,53.0,male
359,53.0,male
360,53.0,male
361,53.0,unknown
362,53.0,male
363,53.0,male
364,53.0,male
365,53.0,male
366,53.0,female
367,53.0,male
368,53.0,male
369,53.0,male
370,53.0,male
371,53.0,male
372,53.0,male
373,53.0,male
374,53.0,male
375,53.0,male
376,53.0,unknown
377,53.0,female
378,53.0,male
379,52.0,male
380,52.0,female
381,52.0,female
382,52.0,male
383,52.0,andy
384,52.0,unknown
385,52.0,male
386,52.0,female
387,52.0,male
388,52.0,male
389,52.0,male
390,52.0,female
391,52.0,male
392,52.0,male
393,52.0,male
394,52.0,male
395,52.0,male
396,52.0,male
397,52.0,unknown
398,52.0,male
399,52.0,male
400,52.0,female
401,52.0,male
402,52.0,male
403,52.0,female
404,52.0,male
405,52.0,male
406,52.0,male
407,52.0,female
408,52.0,male
409,52.0,male
410,52.0,male
411,52.0,male
412,51.0,female
413,51.0,male
414,51.0,male
415,51.0,female
416,51.0,male
417,51.0,male
418,51.0,female
419,51.0,unknown
420,51.0,male
421,51.0,male
422,51.0,male
423,51.0,male
424,51.0,male
425,51.0,male
426,51.0,male
427,51.0,male
428,51.0,male
429,51.0,female
430,51.0,male
431,51.0,male
432,51.0,male
433,51.0,male
434,51.0,female
435,51.0,male
436,51.0,female
437,51.0,male
438,51.0,male
439,51.0,male
440,51.0,male
441,51.0,male
442,51.0,male
443,51.0,male
444,51.0,female
445,51.0,male
446,51.0,male
447,51.0,female
448,51.0,male
