,points,sex
0,26.0,male
1,26.0,male
2,26.0,male
3,26.0,male
4,26.0,male
5,25.5,male
6,25.0,male
7,24.0,female
8,24.0,male
9,24.0,male
10,24.0,male
11,24.0,male
12,24.0,male
13,24.0,male
14,24.0,male
15,24.0,male
16,24.0,male
17,24.0,male
18,24.0,female
19,24.0,male
20,23.0,male
21,23.0,male
22,23.0,male
23,23.0,female
24,23.0,male
25,23.0,male
26,22.5,male
27,22.0,male
28,22.0,male
29,22.0,male
30,22.0,male
31,22.0,male
32,21.5,male
33,21.0,male
34,21.0,male
35,21.0,andy
36,21.0,male
37,21.0,male
38,21.0,male
39,21.0,male
40,20.5,male
41,20.5,female
42,20.5,male
43,20.0,male
44,20.0,male
45,20.0,male
46,20.0,male
47,20.0,male
48,20.0,male
49,20.0,male
50,20.0,male
51,20.0,male
52,20.0,male
53,20.0,male
54,20.0,female
55,20.0,male
56,20.0,male
57,20.0,male
58,19.0,male
59,19.0,male
60,19.0,female
61,18.5,male
62,18.0,male
63,18.0,male
64,18.0,male
65,18.0,male
66,18.0,male
67,18.0,male
68,18.0,male
69,18.0,male
70,18.0,male
71,18.0,male
72,18.0,female
73,18.0,male
74,18.0,female
75,18.0,female
76,17.5,male
77,17.5,male
78,17.5,female
79,17.0,male
80,17.0,male
81,17.0,male
82,17.0,male
83,17.0,male
84,17.0,male
85,17.0,male
86,17.0,female
87,17.0,male
88,17.0,male
89,17.0,male
90,16.0,male
91,16.0,male
92,16.0,male
93,16.0,male
94,16.0,male
95,16.0,female
96,16.0,male
97,16.0,male
98,16.0,male
99,16.0,male
100,16.0,male
101,16.0,female
102,16.0,male
103,16.0,female
104,16.0,male
105,16.0,male
106,16.0,male
107,16.0,male
108,16.0,male
109,16.0,male
110,16.0,male
111,16.0,male
112,16.0,male
113,16.0,male
114,16.0,male
115,15.0,male
116,15.0,female
117,15.0,female
118,15.0,female
119,15.0,male
120,15.0,male
121,15.0,male
122,15.0,male
123,15.0,male
124,15.0,male
125,15.0,male
126,15.0,male
127,15.0,male
128,15.0,male
129,15.0,male
130,15.0,male
131,15.0,male
132,15.0,male
